bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
6220350,0,0,0,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8857,8.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,101903886,69815512,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,6220350
5250000,0,0,0,0,5250000,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8857,8.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,101903886,69815512,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,10500000
3900000,0,0,0,0,3900000,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8857,8.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,101903886,69815512,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,7800000
5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8857,8.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,101903886,69815512,5.1.02.02.01.0026,Belanja Jasa Tenaga Administrasi,60000000
0,0,0,0,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8857,8.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,101903886,69815512,5.1.02.02.01.0027,Belanja Jasa Tenaga Operator Komputer,0
337378,337378,337378,337378,337378,337378,337378,337378,337378,337378,337378,337378,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8857,8.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,101903886,69815512,5.1.02.02.02.0005,Belanja Iuran Jaminan Kesehatan bagi Non ASN,4048536
2167500,0,0,0,0,2167500,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8857,8.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,101903886,69815512,5.1.02.04.01.0001,Belanja Perjalanan Dinas Biasa,4335000
4500000,0,0,0,0,4500000,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8857,8.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,101903886,69815512,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,9000000
0,0,2997100,0,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8858,8.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,17147100,17147100,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2997100
0,0,2000000,0,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8858,8.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,17147100,17147100,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2000000
0,0,0,0,0,0,2200000,0,2000000,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8858,8.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,17147100,17147100,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,4200000
0,0,3975000,0,0,0,3975000,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8858,8.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,17147100,17147100,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,7950000
0,0,0,0,0,0,1987500,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8859,8.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,14937500,14937500,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1987500
0,0,0,0,0,0,2000000,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8859,8.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,14937500,14937500,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2000000
0,0,0,0,0,0,3000000,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8859,8.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,14937500,14937500,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3000000
0,0,0,0,0,0,7950000,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8859,8.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,14937500,14937500,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,7950000
2297800,0,0,0,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8860,8.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,15472800,15472800,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2297800
3350000,0,0,0,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8860,8.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,15472800,15472800,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,3350000
4200000,0,0,0,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8860,8.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,15472800,15472800,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,4200000
5625000,0,0,0,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8860,8.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,15472800,15472800,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5625000
0,0,0,0,0,0,0,0,0,2465400,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8861,8.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,19940400,19940400,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2465400
0,0,0,0,0,0,0,0,0,8250000,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8861,8.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,19940400,19940400,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,8250000
0,0,0,0,0,0,0,0,0,3600000,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8861,8.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,19940400,19940400,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3600000
0,0,0,0,0,0,0,0,0,5625000,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8861,8.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,19940400,19940400,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5625000
0,0,0,3214500,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8862,8.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,47588768,15564500,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,3214500
0,0,0,5500000,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8862,8.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,47588768,15564500,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5500000
2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8862,8.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,47588768,15564500,5.1.02.02.01.0026,Belanja Jasa Tenaga Administrasi,30000000
168689,168689,168689,168689,168689,168689,168689,168689,168689,168689,168689,168689,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8862,8.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,47588768,15564500,5.1.02.02.02.0005,Belanja Iuran Jaminan Kesehatan bagi Non ASN,2024268
0,0,0,6850000,0,0,0,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8862,8.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,47588768,15564500,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,6850000
5123800,0,0,0,0,0,5123800,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8863,8.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,145570068,145570262,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,10247600
0,0,0,0,0,0,10000000,0,3478200,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8863,8.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,145570068,145570262,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,13478200
2080000,0,0,0,0,0,1980000,0,0,0,0,0,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8863,8.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,145570068,145570262,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,4060000
2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,1423,8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,8.01.0.00.0.00.01.0002,Sekrtariat Badan Kesatuan Bangsa dan Politik,8.01,KESATUAN BANGSA DAN POLITIK,8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1423.4266.101.422.1860,8863,8.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,145570068,145570262,5.1.02.02.01.0026,Belanja Jasa Tenaga Administrasi,30000000
