bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,0,0,0,0,0,0,0,0,0,0,96,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02,KEUANGAN,5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,5.02.02.2.04,Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah,96.96.90.399.1798,7956,5.02.02.2.04.07,Penyusunan Kebijakan dan Alokasi Subsidi,0,0,5.4.01.01.03.001,Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa (Nagrak),0
0,0,0,0,0,0,0,0,0,0,0,0,96,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02,KEUANGAN,5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,5.02.02.2.04,Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah,96.96.90.399.1798,7957,5.02.02.2.04.08,Analisis Perencanaan dan Penyaluran Bantuan Keuangan,0,0,5.4.01.01.03.001,Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa (Weninggalih),0
0,0,0,0,0,0,0,0,0,0,0,0,96,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02,KEUANGAN,5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,5.02.02.2.04,Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah,96.96.90.399.1798,7957,5.02.02.2.04.08,Analisis Perencanaan dan Penyaluran Bantuan Keuangan,0,0,5.4.02.02.01.0001,Belanja Bantuan Keuangan Umum kepada Pemerintah Kabupaten/Kota,0
0,0,0,0,0,0,0,0,0,0,0,0,96,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02,KEUANGAN,5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,5.02.02.2.04,Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah,96.96.90.399.1798,7957,5.02.02.2.04.08,Analisis Perencanaan dan Penyaluran Bantuan Keuangan,0,0,5.4.02.03.02.001,Belanja Bantuan Keuangan Khusus Daerah Provinsi ke Kabupaten/Kota (Kab. Bogor),0
0,0,0,0,0,0,0,0,0,0,0,0,96,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02,KEUANGAN,5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,5.02.02.2.04,Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah,96.96.90.399.1798,7957,5.02.02.2.04.08,Analisis Perencanaan dan Penyaluran Bantuan Keuangan,0,0,5.4.02.05.01.001,Belanja Bantuan Keuangan Umum Daerah Provinsi atau Kabupaten/Kota kepada Desa (Wirajaya),0
0,0,0,0,0,0,0,0,0,0,0,0,96,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02,KEUANGAN,5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,5.02.02.2.04,Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah,96.96.90.399.1798,7957,5.02.02.2.04.08,Analisis Perencanaan dan Penyaluran Bantuan Keuangan,0,0,5.4.02.05.02.001,Belanja Bantuan Keuangan Khusus Daerah Provinsi atau Kabupaten/Kota kepada Desa (Sukajaya),0
0,0,0,0,0,0,0,0,0,0,0,0,96,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02,KEUANGAN,5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,5.02.02.2.04,Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah,96.96.90.399.1798,7957,5.02.02.2.04.08,Analisis Perencanaan dan Penyaluran Bantuan Keuangan,0,0,5.4.02.05.02.002,Dst (Puspasari),0
0,0,0,0,0,1150000,0,0,0,0,0,0,96,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02.0.00.0.00.01.0001,Sekretariat BPKAD,5.02,KEUANGAN,5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.02.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",96.1686.90.422.1860,8857,5.02.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,166364150,178715750,5.1.01.03.07.0002,Belanja Honorarium Pengadaan Barang/Jasa,1150000
0,0,0,68812400,0,0,0,0,0,0,0,0,96,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02.0.00.0.00.01.0001,Sekretariat BPKAD,5.02,KEUANGAN,5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.02.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",96.1686.90.422.1860,8857,5.02.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,166364150,178715750,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,68812400
0,0,2425000,4392500,2000000,1596500,1382000,1200000,1293750,0,0,0,96,5.02.0.00.0.00.01.0000,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,5.02.0.00.0.00.01.0001,Sekretariat BPKAD,5.02,KEUANGAN,5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.02.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",96.1686.90.422.1860,8857,5.02.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,166364150,178715750,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,14289750
