bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,10162200,0,0,0,0,0,0,0,0,0,1411,5.01.5.05.0.00.01.0000,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01,PERENCANAAN,5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1411.1491.89.422.1860,8857,5.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,331213250,332015500,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,10162200
0,0,12475000,12381250,10300000,11250000,10954800,10300000,10450000,10300000,10450000,10300000,1411,5.01.5.05.0.00.01.0000,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01,PERENCANAAN,5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1411.1491.89.422.1860,8857,5.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,331213250,332015500,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,109161050
0,0,10625000,8625000,0,2000000,2000000,2000000,2000000,2000000,0,0,1411,5.01.5.05.0.00.01.0000,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01,PERENCANAAN,5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1411.1491.89.422.1860,8857,5.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,331213250,332015500,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,29250000
0,0,0,0,0,6000000,8000000,10000000,14000000,20000000,26000000,0,1411,5.01.5.05.0.00.01.0000,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01,PERENCANAAN,5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1411.1491.89.422.1860,8857,5.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,331213250,332015500,5.1.02.02.01.0003,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",84000000
0,0,0,0,0,98640000,0,0,0,0,0,0,1411,5.01.5.05.0.00.01.0000,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01,PERENCANAAN,5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1411.1491.89.422.1860,8857,5.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,331213250,332015500,5.1.02.02.05.0009,Belanja Sewa Bangunan Gedung Tempat Pertemuan,98640000
0,0,8572700,0,0,0,0,0,0,0,0,0,1411,5.01.5.05.0.00.01.0000,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01,PERENCANAAN,5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1411.1491.89.422.1860,8858,5.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,21348300,22923300,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,8572700
0,0,2000000,0,0,2000000,2775600,0,0,0,0,0,1411,5.01.5.05.0.00.01.0000,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01,PERENCANAAN,5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1411.1491.89.422.1860,8858,5.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,21348300,22923300,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,6775600
0,0,2000000,0,0,2000000,2000000,0,0,0,0,0,1411,5.01.5.05.0.00.01.0000,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01,PERENCANAAN,5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1411.1491.89.422.1860,8858,5.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,21348300,22923300,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,6000000
0,0,0,0,7658400,0,0,0,0,0,0,0,1411,5.01.5.05.0.00.01.0000,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01,PERENCANAAN,5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1411.1491.89.422.1860,8859,5.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,13658400,15233400,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,7658400
0,0,0,0,800000,0,800000,0,800000,0,0,0,1411,5.01.5.05.0.00.01.0000,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01,PERENCANAAN,5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,5.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1411.1491.89.422.1860,8859,5.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,13658400,15233400,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2400000
