bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,0,0,0,0,0,0,0,3050000,0,0,1367,1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,1.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1367.1490.55.422.1860,8857,1.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,591692064,546052012,5.1.01.03.07.0002,Belanja Honorarium Pengadaan Barang/Jasa,3050000
0,0,10634450,0,0,0,29190350,0,0,0,0,0,1367,1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,1.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1367.1490.55.422.1860,8857,1.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,591692064,546052012,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,39824800
0,0,2582050,0,0,0,11678650,0,0,0,0,0,1367,1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,1.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1367.1490.55.422.1860,8857,1.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,591692064,546052012,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,14260700
2663347,2663347,2663347,2663347,2663347,2663347,5163346,5163346,5163346,5163346,5163346,5163350,1367,1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,1.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1367.1490.55.422.1860,8857,1.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,591692064,546052012,5.1.02.02.01.0026,Belanja Jasa Tenaga Administrasi,46960162
0,0,0,0,0,168689,2024268,168689,168689,168689,168689,168689,1367,1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,1.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1367.1490.55.422.1860,8857,1.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,591692064,546052012,5.1.02.02.02.0005,Belanja Iuran Jaminan Kesehatan bagi Non ASN,3036402
0,0,0,45000000,0,162000000,45000000,0,0,0,0,0,1367,1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,1.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1367.1490.55.422.1860,8857,1.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,591692064,546052012,5.1.02.02.05.0009,Belanja Sewa Bangunan Gedung Tempat Pertemuan,252000000
0,0,5100000,57800000,0,0,111860000,0,0,57800000,0,0,1367,1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,1.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1367.1490.55.422.1860,8857,1.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,591692064,546052012,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,232560000
0,0,0,0,0,0,0,0,700000,0,0,0,1367,1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,1.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1367.1490.55.422.1860,8858,1.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,436199180,497165412,5.1.01.03.07.0002,Belanja Honorarium Pengadaan Barang/Jasa,700000
0,0,0,0,0,0,0,9813450,0,0,0,0,1367,1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,1.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1367.1490.55.422.1860,8858,1.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,436199180,497165412,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,9813450
0,0,0,0,0,0,0,2601300,0,0,0,0,1367,1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,1.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1367.1490.55.422.1860,8858,1.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,436199180,497165412,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2601300
