bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,695000,0,0,0,690750,0,0,0,0,0,1454,7.01.0.00.0.00.05.0000,KECAMATAN BABAKAN MADANG,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1454.1789.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,14647850,14647850,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1385750
0,0,300000,0,0,0,281100,0,0,0,0,0,1454,7.01.0.00.0.00.05.0000,KECAMATAN BABAKAN MADANG,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1454.1789.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,14647850,14647850,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,581100
0,0,41000,0,0,0,40000,0,0,0,0,0,1454,7.01.0.00.0.00.05.0000,KECAMATAN BABAKAN MADANG,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1454.1789.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,14647850,14647850,5.1.02.01.01.0027,Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos,81000
0,0,1200000,0,0,0,1200000,0,0,0,0,0,1454,7.01.0.00.0.00.05.0000,KECAMATAN BABAKAN MADANG,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1454.1789.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,14647850,14647850,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2400000
0,0,0,0,0,0,0,0,0,0,0,0,1454,7.01.0.00.0.00.05.0000,KECAMATAN BABAKAN MADANG,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1454.1789.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,14647850,14647850,5.1.02.01.01.0053,Belanja Makanan dan Minuman Jamuan Tamu,0
0,0,0,0,0,0,0,0,0,0,0,0,1454,7.01.0.00.0.00.05.0000,KECAMATAN BABAKAN MADANG,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1454.1789.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,14647850,14647850,5.1.02.04.01.0001,Belanja Perjalanan Dinas Biasa,0
0,0,5100000,0,0,0,5100000,0,0,0,0,0,1454,7.01.0.00.0.00.05.0000,KECAMATAN BABAKAN MADANG,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1454.1789.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,14647850,14647850,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,10200000
1155900,0,0,0,0,0,0,0,0,0,0,0,1454,7.01.0.00.0.00.05.0000,KECAMATAN BABAKAN MADANG,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1454.1789.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5284400,5159000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1155900
380500,0,0,0,0,0,0,0,0,0,0,0,1454,7.01.0.00.0.00.05.0000,KECAMATAN BABAKAN MADANG,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1454.1789.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5284400,5159000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,380500
48000,0,0,0,0,0,0,0,0,0,0,0,1454,7.01.0.00.0.00.05.0000,KECAMATAN BABAKAN MADANG,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1454.1789.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5284400,5159000,5.1.02.01.01.0027,Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos,48000
