bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,0,0,0,0,0,0,0,0,0,0,1476,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,1476.1476.97.422.1866,8916,7.01.01.2.07.09,Pengadaan Gedung Kantor atau Bangunan Lainnya,8099998417,8100000000,5.1.01.01.08.0001,Belanja Pembulatan Gaji PNS,0
0,0,16641800,0,0,0,0,0,0,0,0,0,1476,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,1476.1476.97.422.1866,8916,7.01.01.2.07.09,Pengadaan Gedung Kantor atau Bangunan Lainnya,8099998417,8100000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,16641800
0,0,950000,0,0,0,0,0,0,0,0,0,1476,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,1476.1476.97.422.1866,8916,7.01.01.2.07.09,Pengadaan Gedung Kantor atau Bangunan Lainnya,8099998417,8100000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,950000
0,0,10000000,0,0,0,0,0,0,0,0,0,1476,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,1476.1476.97.422.1866,8916,7.01.01.2.07.09,Pengadaan Gedung Kantor atau Bangunan Lainnya,8099998417,8100000000,5.1.02.02.04.0037,Belanja Sewa Kendaraan Bermotor Angkutan Barang,10000000
0,0,100000000,0,0,0,0,0,0,0,0,0,1476,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,1476.1476.97.422.1866,8916,7.01.01.2.07.09,Pengadaan Gedung Kantor atau Bangunan Lainnya,8099998417,8100000000,5.1.02.02.05.0001,Belanja Sewa Bangunan Gedung Kantor,100000000
0,0,325529105,0,0,0,0,0,0,0,0,0,1476,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,1476.1476.97.422.1866,8916,7.01.01.2.07.09,Pengadaan Gedung Kantor atau Bangunan Lainnya,8099998417,8100000000,5.1.02.02.08.0005,Belanja Jasa Konsultansi Perencanaan Arsitektur-Jasa Arsitektur Lainnya,325529105
0,0,42500000,0,0,0,0,0,0,0,0,0,1476,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,1476.1476.97.422.1866,8916,7.01.01.2.07.09,Pengadaan Gedung Kantor atau Bangunan Lainnya,8099998417,8100000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,42500000
0,0,7604377512,0,0,0,0,0,0,0,0,0,1476,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,1476.1476.97.422.1866,8916,7.01.01.2.07.09,Pengadaan Gedung Kantor atau Bangunan Lainnya,8099998417,8100000000,5.2.03.01.01.0001,Belanja Modal Bangunan Gedung Kantor,7604377512
0,0,0,0,0,2683950,0,0,0,0,0,0,1476,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01.0.00.0.00.27.0001,Sekretariat Kecamatan Caringin,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1476.1840.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,75257486,75129274,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2683950
0,0,0,825000,0,0,0,0,0,0,0,0,1476,7.01.0.00.0.00.27.0000,KECAMATAN CARINGIN,7.01.0.00.0.00.27.0001,Sekretariat Kecamatan Caringin,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1476.1840.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,75257486,75129274,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,825000
