bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
13558200,0,0,0,0,0,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.05,Administrasi Kepegawaian Perangkat Daerah,1457.1457.97.422.1864,8888,7.01.01.2.05.03,Pendataan dan Pengolahan Administrasi Kepegawaian,96349358,96558523,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,13558200
14400000,0,0,0,0,0,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.05,Administrasi Kepegawaian Perangkat Daerah,1457.1457.97.422.1864,8888,7.01.01.2.05.03,Pendataan dan Pengolahan Administrasi Kepegawaian,96349358,96558523,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,14400000
5326694,5326694,5326694,5326694,5326694,8366530,5000000,5000000,5000000,5000000,5000000,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.05,Administrasi Kepegawaian Perangkat Daerah,1457.1457.97.422.1864,8888,7.01.01.2.05.03,Pendataan dan Pengolahan Administrasi Kepegawaian,96349358,96558523,5.1.02.02.01.0026,Belanja Jasa Tenaga Administrasi,60000000
0,0,0,0,0,3711158,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.05,Administrasi Kepegawaian Perangkat Daerah,1457.1457.97.422.1864,8888,7.01.01.2.05.03,Pendataan dan Pengolahan Administrasi Kepegawaian,96349358,96558523,5.1.02.02.02.0005,Belanja Iuran Jaminan Kesehatan bagi Non ASN,3711158
390000,390000,390000,390000,390000,2730000,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.05,Administrasi Kepegawaian Perangkat Daerah,1457.1457.97.422.1864,8888,7.01.01.2.05.03,Pendataan dan Pengolahan Administrasi Kepegawaian,96349358,96558523,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,4680000
2343950,0,0,0,0,0,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,11743950,11743950,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2343950
700000,0,0,0,0,0,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,11743950,11743950,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,700000
4800000,0,0,0,0,0,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,11743950,11743950,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,4800000
3900000,0,0,0,0,0,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,11743950,11743950,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,3900000
0,2481250,0,0,0,0,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,13431250,13431250,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2481250
0,600000,0,0,0,0,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,13431250,13431250,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,600000
0,6000000,0,0,0,0,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,13431250,13431250,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,6000000
0,4350000,0,0,0,0,0,0,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,13431250,13431250,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,4350000
0,0,0,0,0,0,0,1345500,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,12745500,12745500,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1345500
0,0,0,0,0,0,0,700000,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,12745500,12745500,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,700000
0,0,0,0,0,0,0,10400000,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,12745500,12745500,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,10400000
0,0,0,0,0,0,0,300000,0,0,0,0,1457,7.01.0.00.0.00.08.0000,KECAMATAN CARIU,7.01.0.00.0.00.08.0001,Sekretariat Kecamatan Cariu,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1457.1792.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,12745500,12745500,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,300000
