bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
1454350,0,1000000,1000000,0,0,0,0,0,0,0,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,19494350,19494350,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,3454350
1140000,0,1000000,0,0,0,0,0,0,0,0,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,19494350,19494350,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2140000
2000000,0,0,0,0,0,0,0,0,0,0,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,19494350,19494350,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2000000
3400000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,19494350,19494350,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,11900000
919350,0,0,1863400,0,0,0,0,0,0,0,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,15582750,15582750,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2782750
187500,0,0,1000000,112500,0,1000000,0,0,0,0,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,15582750,15582750,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2300000
1400000,0,0,600000,0,0,0,0,0,0,0,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,15582750,15582750,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2000000
680000,0,0,2720000,0,2380000,1360000,0,0,1360000,0,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,15582750,15582750,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,8500000
0,0,0,1458100,919350,0,1000000,0,0,0,0,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,53226718,54337762,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,3377450
0,0,0,1012500,0,0,187500,0,0,625000,0,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,53226718,54337762,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1825000
0,0,0,2400000,0,0,0,0,0,0,0,0,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,53226718,54337762,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2400000
2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,1464,7.01.0.00.0.00.15.0000,KECAMATAN CIAMPEA,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1464.1801.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,53226718,54337762,5.1.02.02.01.0026,Belanja Jasa Tenaga Administrasi,30000000
