bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
1280000,0,0,0,0,0,1293450,0,0,0,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15533450,15533450,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2573450
1100000,0,0,0,0,0,1100000,0,0,0,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15533450,15533450,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2200000
1920000,0,0,0,0,0,0,0,0,0,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15533450,15533450,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1920000
680000,0,0,2040000,1360000,680000,680000,680000,680000,680000,680000,680000,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15533450,15533450,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,8840000
0,0,2000000,0,0,0,2000000,0,0,2237800,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,24377800,24377800,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,6237800
0,0,575000,0,0,0,575000,0,0,575000,0,575000,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,24377800,24377800,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2300000
0,0,1200000,0,0,1200000,0,0,1200000,0,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,24377800,24377800,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3600000
0,0,0,2550000,1700000,1020000,1020000,1020000,1700000,1020000,1020000,1190000,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,24377800,24377800,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,12240000
705000,0,0,0,705000,0,0,0,705000,0,0,705100,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,12355100,12355100,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2820100
350000,0,0,0,350000,0,0,0,350000,0,0,325000,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,12355100,12355100,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1375000
1700000,0,0,2040000,340000,0,0,0,2040000,0,2040000,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,12355100,12355100,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,8160000
0,0,1276000,0,0,750000,0,0,0,750250,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,12941250,12941250,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2776250
0,0,525000,0,0,500000,0,0,0,500000,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,12941250,12941250,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1525000
0,0,3200000,0,0,0,0,0,0,0,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,12941250,12941250,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3200000
0,0,680000,1120000,0,1800000,0,0,0,1840000,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,12941250,12941250,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5440000
725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,735800,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,37310800,37310800,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,8710800
258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,262000,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,37310800,37310800,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,3100000
1020000,0,0,3060000,2040000,2040000,2040000,2040000,2040000,2040000,2040000,7140000,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1473.1836.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,37310800,37310800,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,25500000
91691100,87275500,87367400,84662600,219679082,219679082,109839542,109839542,109839542,0,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1473.1836.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3629246038,4072234390,5.1.01.01.01.0001,Belanja Gaji Pokok PNS,1119873390
9188818,9035772,8668498,8278804,114979459,114979459,57489730,57489730,57489730,0,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1473.1836.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3629246038,4072234390,5.1.01.01.02.0001,Belanja Tunjangan Keluarga PNS,437600000
5920000,5920000,5920000,5920000,27405715,27405714,13702857,13702857,13702857,0,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1473.1836.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3629246038,4072234390,5.1.01.01.03.0001,Belanja Tunjangan Jabatan PNS,119600000
417000,417000,417000,1251000,846000,1251000,417000,417000,417000,0,0,0,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1473.1836.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3629246038,4072234390,5.1.01.01.04.0001,Belanja Tunjangan Fungsional PNS,5850000
4650000,4600000,4600000,4600000,4600000,4600000,4600000,4600000,4600000,4600000,4600000,4600000,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1473.1836.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3629246038,4072234390,5.1.01.01.05.0001,Belanja Tunjangan Fungsional Umum PNS,55250000
9900000,9100000,9100000,9100000,9100000,9100000,9100000,9100000,9100000,9100000,9100000,9100000,1473,7.01.0.00.0.00.24.0000,KECAMATAN CIAWI,7.01.0.00.0.00.24.0001,Sekretariat Kecamatan Ciawi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1473.1836.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3629246038,4072234390,5.1.01.01.06.0001,Belanja Tunjangan Beras PNS,110000000
