bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,1058600,1058600,0,0,0,0,0,0,0,0,1465,7.01.0.00.0.00.16.0000,KECAMATAN CIBUNGBULANG,7.01.0.00.0.00.16.0001,Sekretariat Kecamatan Cibungbulang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1465.1802.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,11000000,6000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2117200
0,0,400000,1892800,0,0,110000,0,0,0,0,0,1465,7.01.0.00.0.00.16.0000,KECAMATAN CIBUNGBULANG,7.01.0.00.0.00.16.0001,Sekretariat Kecamatan Cibungbulang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1465.1802.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,11000000,6000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2402800
0,0,400000,400000,0,0,5000000,0,0,0,0,0,1465,7.01.0.00.0.00.16.0000,KECAMATAN CIBUNGBULANG,7.01.0.00.0.00.16.0001,Sekretariat Kecamatan Cibungbulang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1465.1802.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,11000000,6000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,5800000
680000,0,0,0,0,0,0,0,0,0,0,0,1465,7.01.0.00.0.00.16.0000,KECAMATAN CIBUNGBULANG,7.01.0.00.0.00.16.0001,Sekretariat Kecamatan Cibungbulang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1465.1802.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,11000000,6000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,680000
0,0,1192800,0,0,0,0,0,0,0,0,0,1465,7.01.0.00.0.00.16.0000,KECAMATAN CIBUNGBULANG,7.01.0.00.0.00.16.0001,Sekretariat Kecamatan Cibungbulang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1465.1802.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,8000000,3000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1192800
0,0,1127200,0,0,0,0,0,0,0,0,0,1465,7.01.0.00.0.00.16.0000,KECAMATAN CIBUNGBULANG,7.01.0.00.0.00.16.0001,Sekretariat Kecamatan Cibungbulang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1465.1802.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,8000000,3000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1127200
0,0,0,400000,0,0,400000,0,0,4200000,0,0,1465,7.01.0.00.0.00.16.0000,KECAMATAN CIBUNGBULANG,7.01.0.00.0.00.16.0001,Sekretariat Kecamatan Cibungbulang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1465.1802.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,8000000,3000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,5000000
0,0,340000,340000,0,0,0,0,0,0,0,0,1465,7.01.0.00.0.00.16.0000,KECAMATAN CIBUNGBULANG,7.01.0.00.0.00.16.0001,Sekretariat Kecamatan Cibungbulang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1465.1802.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,8000000,3000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,680000
0,0,0,0,0,0,0,1192800,0,0,0,0,1465,7.01.0.00.0.00.16.0000,KECAMATAN CIBUNGBULANG,7.01.0.00.0.00.16.0001,Sekretariat Kecamatan Cibungbulang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1465.1802.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,9000000,4000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1192800
0,0,0,0,0,0,0,2127200,0,0,0,0,1465,7.01.0.00.0.00.16.0000,KECAMATAN CIBUNGBULANG,7.01.0.00.0.00.16.0001,Sekretariat Kecamatan Cibungbulang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1465.1802.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,9000000,4000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2127200
