bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
582000,0,0,0,582000,0,0,0,0,581000,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,35000000,35000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1745000
935000,0,0,0,935000,0,0,0,0,935000,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,35000000,35000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2805000
7450000,0,0,0,7450000,0,0,0,0,7450000,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,35000000,35000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,22350000
2700000,0,0,0,2700000,0,0,0,0,2700000,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,35000000,35000000,5.1.02.04.01.0001,Belanja Perjalanan Dinas Biasa,8100000
0,0,0,0,0,0,0,360000,0,0,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,360000
0,0,0,0,0,0,0,440000,0,0,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,440000
0,0,0,0,0,0,2000000,2000000,2000000,2000000,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,8000000
0,0,0,0,0,0,600000,600000,0,0,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.04.01.0001,Belanja Perjalanan Dinas Biasa,1200000
0,0,0,0,0,0,1150000,0,0,0,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,14250000,14250000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1150000
0,0,0,0,0,0,0,960000,0,0,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,14250000,14250000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,960000
0,0,0,0,0,0,4000000,3040000,0,0,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,14250000,14250000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,7040000
0,0,0,0,0,0,2100000,3000000,0,0,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,14250000,14250000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5100000
1000000,0,0,0,0,0,0,0,0,0,0,0,1487,7.01.0.00.0.00.38.0000,KECAMATAN CIGOMBONG,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1487.1852.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,15000000,15000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1000000
