bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
5598400,0,0,0,0,0,0,0,0,0,0,0,1477,7.01.0.00.0.00.28.0000,KECAMATAN CIJERUK,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1477.1841.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5598400
1301600,0,0,0,0,0,0,0,0,0,0,0,1477,7.01.0.00.0.00.28.0000,KECAMATAN CIJERUK,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1477.1841.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1301600
3000000,0,0,0,0,0,0,0,0,0,0,0,1477,7.01.0.00.0.00.28.0000,KECAMATAN CIJERUK,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1477.1841.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3000000
5100000,0,0,0,0,0,0,0,0,0,0,0,1477,7.01.0.00.0.00.28.0000,KECAMATAN CIJERUK,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1477.1841.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5100000
3339600,0,0,0,0,0,0,0,0,0,0,0,1477,7.01.0.00.0.00.28.0000,KECAMATAN CIJERUK,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1477.1841.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,3339600
360400,0,0,0,0,0,0,0,0,0,0,0,1477,7.01.0.00.0.00.28.0000,KECAMATAN CIJERUK,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1477.1841.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,360400
1200000,0,0,0,0,0,0,0,0,0,0,0,1477,7.01.0.00.0.00.28.0000,KECAMATAN CIJERUK,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1477.1841.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1200000
5100000,0,0,0,0,0,0,0,0,0,0,0,1477,7.01.0.00.0.00.28.0000,KECAMATAN CIJERUK,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1477.1841.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5100000
0,0,3339600,0,0,0,0,0,0,0,0,0,1477,7.01.0.00.0.00.28.0000,KECAMATAN CIJERUK,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1477.1841.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,10000000,10000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,3339600
0,0,360400,0,0,0,0,0,0,0,0,0,1477,7.01.0.00.0.00.28.0000,KECAMATAN CIJERUK,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1477.1841.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,10000000,10000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,360400
