bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
8246850,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,17991850,17991850,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,8246850
400000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,17991850,17991850,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,400000
5385000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,17991850,17991850,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,5385000
3960000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,17991850,17991850,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,3960000
4217600,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,6157600,26000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,4217600
200000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,6157600,26000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,200000
0,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,6157600,26000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,0
1740000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,6157600,26000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,1740000
8916800,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,16000000,16000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,8916800
803200,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,16000000,16000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,803200
1000000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,16000000,16000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1000000
5280000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,16000000,16000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5280000
1544700,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,3264700,18000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1544700
400000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,3264700,18000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,400000
0,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,3264700,18000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,0
1320000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,3264700,18000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,1320000
8846400,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,49750786,49771762,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,8846400
805200,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,49750786,49771762,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,805200
10000000,0,0,8000000,0,0,8000000,0,0,5960162,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,49750786,49771762,5.1.02.02.01.0026,Belanja Jasa Tenaga Administrasi,31960162
0,0,0,0,2699024,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,49750786,49771762,5.1.02.02.02.0005,Belanja Iuran Jaminan Kesehatan bagi Non ASN,2699024
5440000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,49750786,49771762,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5440000
8108800,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8863,7.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,10708800,15999800,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,8108800
200000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8863,7.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,10708800,15999800,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,200000
1200000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8863,7.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,10708800,15999800,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1200000
1200000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1456.1791.97.422.1860,8863,7.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,10708800,15999800,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,1200000
150000000,150000000,200000000,400000000,200000000,104162186,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1456.1791.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3841040964,3887930728,5.1.01.01.01.0001,Belanja Gaji Pokok PNS,1204162186
60000000,0,40000000,0,26445900,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1456.1791.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3841040964,3887930728,5.1.01.01.02.0001,Belanja Tunjangan Keluarga PNS,126445900
10210000,7000000,7000000,14000000,7000000,7000000,7000000,7000000,7000000,7000000,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1456.1791.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3841040964,3887930728,5.1.01.01.03.0001,Belanja Tunjangan Jabatan PNS,80210000
18480000,0,0,0,0,0,0,0,0,0,0,0,1456,7.01.0.00.0.00.07.0000,KECAMATAN CILEUNGSI,7.01.0.00.0.00.07.0001,Sekretariat Kecamatan Cileungsi,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1456.1791.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3841040964,3887930728,5.1.01.01.04.0001,Belanja Tunjangan Fungsional PNS,18480000
