bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,0,36521760,0,0,0,0,0,0,0,0,1479,7.01.0.00.0.00.30.0000,KECAMATAN DRAMAGA,7.01.0.00.0.00.30.00,KECAMATAN DRAMAGA,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1479.1479.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,74999835,0,5.1.02.01.01.0012,Belanja Bahan-Bahan Lainnya,36521760
0,0,0,1221925,0,0,0,0,0,0,0,0,1479,7.01.0.00.0.00.30.0000,KECAMATAN DRAMAGA,7.01.0.00.0.00.30.00,KECAMATAN DRAMAGA,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1479.1479.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,74999835,0,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1221925
0,0,0,7456150,0,0,0,0,0,0,0,0,1479,7.01.0.00.0.00.30.0000,KECAMATAN DRAMAGA,7.01.0.00.0.00.30.00,KECAMATAN DRAMAGA,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1479.1479.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,74999835,0,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,7456150
0,0,0,1440000,0,0,0,0,0,0,0,0,1479,7.01.0.00.0.00.30.0000,KECAMATAN DRAMAGA,7.01.0.00.0.00.30.00,KECAMATAN DRAMAGA,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1479.1479.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,74999835,0,5.1.02.01.01.0037,Belanja Obat-Obatan-Obat,1440000
0,0,0,1200000,0,0,0,0,0,0,0,0,1479,7.01.0.00.0.00.30.0000,KECAMATAN DRAMAGA,7.01.0.00.0.00.30.00,KECAMATAN DRAMAGA,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1479.1479.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,74999835,0,5.1.02.01.01.0054,Belanja Penambah Daya Tahan Tubuh,1200000
0,0,0,16800000,0,0,0,0,0,0,0,0,1479,7.01.0.00.0.00.30.0000,KECAMATAN DRAMAGA,7.01.0.00.0.00.30.00,KECAMATAN DRAMAGA,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1479.1479.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,74999835,0,5.1.02.01.01.0058,Belanja Makanan dan Minuman Aktivitas Lapangan,16800000
0,0,0,10360000,0,0,0,0,0,0,0,0,1479,7.01.0.00.0.00.30.0000,KECAMATAN DRAMAGA,7.01.0.00.0.00.30.00,KECAMATAN DRAMAGA,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1479.1479.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,74999835,0,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,10360000
460000,460000,470000,0,0,0,0,0,0,0,0,0,1479,7.01.0.00.0.00.30.0000,KECAMATAN DRAMAGA,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1479.1844.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9142000,9142000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1390000
510000,510000,532000,0,0,0,0,0,0,0,0,0,1479,7.01.0.00.0.00.30.0000,KECAMATAN DRAMAGA,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1479.1844.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9142000,9142000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1552000
800000,800000,800000,0,0,0,0,0,0,0,0,0,1479,7.01.0.00.0.00.30.0000,KECAMATAN DRAMAGA,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1479.1844.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9142000,9142000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2400000
