bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,1425,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.06,Administrasi Umum Perangkat Daerah,1425.1425.97.422.1865,8897,7.01.01.2.06.01,Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor,96000000,96000000,5.1.02.02.01.0061,Belanja Tagihan Listrik,96000000
0,0,1290000,0,0,0,0,0,0,0,0,0,1425,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1425.1784.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,10000000,10000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1290000
0,0,1190000,0,0,0,0,0,0,0,0,0,1425,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1425.1784.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,10000000,10000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1190000
0,0,1600000,0,0,1600000,0,0,0,0,0,0,1425,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1425.1784.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,10000000,10000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3200000
0,4320000,0,0,0,0,0,0,0,0,0,0,1425,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1425.1784.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,10000000,10000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,4320000
0,803700,0,0,0,0,0,0,0,0,0,0,1425,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1425.1784.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,11000000,6000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,803700
0,1021300,400000,0,0,0,0,0,0,0,0,0,1425,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1425.1784.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,11000000,6000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1421300
0,1000000,2000000,0,0,0,0,0,0,0,0,0,1425,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1425.1784.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,11000000,6000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3000000
0,0,3175000,2600000,0,0,0,0,0,0,0,0,1425,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1425.1784.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,11000000,6000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5775000
0,0,0,1296800,0,0,0,0,0,0,0,0,1425,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1425.1784.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,10000000,10000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1296800
