bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,0,3851050,0,0,0,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9999450,9999450,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,3851050
0,0,0,998400,0,0,0,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9999450,9999450,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,998400
0,0,0,2400000,0,0,0,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9999450,9999450,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2400000
0,0,0,2750000,0,0,0,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9999450,9999450,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,2750000
0,0,0,1718150,0,0,0,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,8518150,8518150,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1718150
0,0,0,800000,0,0,0,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,8518150,8518150,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,800000
0,0,0,6000000,0,0,0,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,8518150,8518150,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,6000000
0,0,0,0,0,0,2565250,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,8565250,8565250,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2565250
0,0,0,0,0,0,6000000,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,8565250,8565250,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,6000000
0,0,0,1703750,0,0,0,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,8753750,8753750,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1703750
0,0,0,1050000,0,0,0,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,8753750,8753750,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1050000
0,0,0,6000000,0,0,0,0,0,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,8753750,8753750,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,6000000
0,0,0,4000000,0,0,2000000,0,0,4000000,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1460.1795.97.422.1860,8863,7.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,10000000,10000000,5.1.02.02.01.0055,"Belanja Jasa Iklan/Reklame, Film, dan Pemotretan",10000000
75000000,112000000,52649914,82324957,82324957,215000000,82324957,82324957,82324957,82324957,82324957,39299829,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1460.1795.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3181092326,3637216441,5.1.01.01.01.0001,Belanja Gaji Pokok PNS,1070224442
7307692,7307692,7307692,7307692,7307692,15000000,7307692,7307692,7307692,7307692,7307696,6923076,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1460.1795.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3181092326,3637216441,5.1.01.01.02.0001,Belanja Tunjangan Keluarga PNS,95000000
6153846,6153846,6153846,6153846,6153846,12307692,6153846,6153846,6153846,6153846,6153846,6153848,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1460.1795.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3181092326,3637216441,5.1.01.01.03.0001,Belanja Tunjangan Jabatan PNS,80000000
2846071,2846071,2846071,2846071,2846071,5692148,2846071,2846071,2846071,2846071,2846071,2846071,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1460.1795.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3181092326,3637216441,5.1.01.01.05.0001,Belanja Tunjangan Fungsional Umum PNS,36998929
5072535,5072535,5072535,5072535,5072535,10145070,5072535,5072535,5072535,5072535,5072535,5072535,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1460.1795.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3181092326,3637216441,5.1.01.01.06.0001,Belanja Tunjangan Beras PNS,65942955
126288,350000,331405,269231,269231,1483329,269231,269231,132054,0,0,0,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1460.1795.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3181092326,3637216441,5.1.01.01.07.0001,Belanja Tunjangan PPh/Tunjangan Khusus PNS,3500000
1102,2000,2000,2000,2000,2000,2000,2000,4898,2000,2000,2000,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1460.1795.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3181092326,3637216441,5.1.01.01.08.0001,Belanja Pembulatan Gaji PNS,26000
9500000,9500000,9500000,9500000,9500000,9500000,9500000,9500000,9500000,9500000,9500000,500000,1460,7.01.0.00.0.00.11.0000,KECAMATAN GUNUNG SINDUR,7.01.0.00.0.00.11.0001,Sekretariat Kecamatan Gunung Sindur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1460.1795.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,3181092326,3637216441,5.1.01.01.09.0001,Belanja Iuran Jaminan Kesehatan PNS,105000000
