bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
1669000,0,0,0,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1669000
0,0,1001000,0,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1001000
0,0,1450000,0,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1450000
5440000,0,0,0,0,0,5440000,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,10880000
1163000,0,0,0,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1163000
1267000,0,0,0,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1267000
600000,0,0,0,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,600000
6970000,0,0,0,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10000000,10000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,6970000
0,0,0,2290000,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,10000000,10000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2290000
0,0,0,2010000,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,10000000,10000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2010000
0,0,0,600000,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,10000000,10000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,600000
0,0,0,5100000,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,10000000,10000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5100000
2290000,0,0,0,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,10000000,10000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2290000
2010000,0,0,0,0,0,0,0,0,0,0,0,1468,7.01.0.00.0.00.19.0000,KECAMATAN JASINGA,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1468.1805.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,10000000,10000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2010000
