bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
1231000,0,0,0,0,0,0,0,0,0,1232500,0,1455,7.01.0.00.0.00.06.0000,KECAMATAN JONGGOL,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1455.1790.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,5999900,5999900,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2463500
143200,0,0,0,0,0,0,0,0,0,143200,0,1455,7.01.0.00.0.00.06.0000,KECAMATAN JONGGOL,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1455.1790.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,5999900,5999900,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,286400
1000000,0,0,0,0,0,0,0,0,0,1000000,0,1455,7.01.0.00.0.00.06.0000,KECAMATAN JONGGOL,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1455.1790.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,5999900,5999900,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2000000
625000,0,0,0,0,0,0,0,0,0,625000,0,1455,7.01.0.00.0.00.06.0000,KECAMATAN JONGGOL,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1455.1790.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,5999900,5999900,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,1250000
0,0,0,0,0,0,0,0,0,0,1400000,1459950,1455,7.01.0.00.0.00.06.0000,KECAMATAN JONGGOL,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1455.1790.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5999950,5999950,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2859950
0,0,0,0,0,0,0,0,0,0,145000,145000,1455,7.01.0.00.0.00.06.0000,KECAMATAN JONGGOL,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1455.1790.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5999950,5999950,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,290000
0,0,0,0,0,0,0,0,0,0,800000,800000,1455,7.01.0.00.0.00.06.0000,KECAMATAN JONGGOL,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1455.1790.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5999950,5999950,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1600000
0,0,0,0,0,0,0,0,0,0,625000,625000,1455,7.01.0.00.0.00.06.0000,KECAMATAN JONGGOL,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1455.1790.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5999950,5999950,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,1250000
1400000,0,0,0,0,0,0,0,0,1467200,0,0,1455,7.01.0.00.0.00.06.0000,KECAMATAN JONGGOL,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1455.1790.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,6000000,6000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2867200
140000,0,0,0,0,0,0,0,0,142800,0,0,1455,7.01.0.00.0.00.06.0000,KECAMATAN JONGGOL,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1455.1790.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,6000000,6000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,282800
