bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,2304550,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1461.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,7500000,7500000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2304550
0,0,945450,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1461.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,7500000,7500000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,945450
0,0,0,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1461.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,7500000,7500000,5.1.02.04.01.0001,Belanja Perjalanan Dinas Biasa,0
0,0,4250000,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1461.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,7500000,7500000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,4250000
0,4402500,0,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,13348950,13348950,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,4402500
0,786450,0,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,13348950,13348950,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,786450
0,8160000,0,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,13348950,13348950,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,8160000
0,0,2652000,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,7849850,7849850,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2652000
0,0,947850,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,7849850,7849850,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,947850
0,0,4250000,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,7849850,7849850,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,4250000
5193000,5193000,0,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,51450868,51456762,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,10386000
4340600,0,0,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,51450868,51456762,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,4340600
1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,51450868,51456762,5.1.02.02.01.0026,Belanja Jasa Tenaga Administrasi,22800000
168689,168689,168689,168689,168689,168689,168689,168689,168689,168689,168689,168689,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,51450868,51456762,5.1.02.02.02.0005,Belanja Iuran Jaminan Kesehatan bagi Non ASN,2024268
5950000,5950000,0,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,51450868,51456762,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,11900000
3339600,0,0,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8863,7.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,9590800,9590800,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,3339600
811200,0,0,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8863,7.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,9590800,9590800,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,811200
5440000,0,0,0,0,0,0,0,0,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1461.1796.97.422.1860,8863,7.01.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,9590800,9590800,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5440000
163587078,163587078,163587078,163587078,654348306,327174156,163587078,163587078,159037078,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1461.1796.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,5459123990,6186964305,5.1.01.01.01.0001,Belanja Gaji Pokok PNS,2122082008
22218714,22218714,22218714,22218714,88874860,66656142,22218714,22218714,22218714,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1461.1796.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,5459123990,6186964305,5.1.01.01.02.0001,Belanja Tunjangan Keluarga PNS,311062000
9730000,9730000,9730000,9730000,29190000,29190000,9730000,9730000,9718000,0,0,0,1461,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1461.1796.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,5459123990,6186964305,5.1.01.01.03.0001,Belanja Tunjangan Jabatan PNS,126478000
