bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,0,1357600,1357600,0,0,0,1357600,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,39629050,39629050,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,4072800
0,0,0,1723750,1723750,0,0,0,1383750,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,39629050,39629050,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,4831250
0,0,0,6400000,6400000,0,0,0,4200000,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,39629050,39629050,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,17000000
0,0,0,0,0,0,0,0,0,0,3525000,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,39629050,39629050,5.1.02.04.01.0001,Belanja Perjalanan Dinas Biasa,3525000
0,0,0,3400000,3400000,0,0,0,3400000,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,39629050,39629050,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,10200000
0,0,0,824750,0,0,0,0,0,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,9193500,9193500,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,824750
0,0,0,1393750,0,0,0,0,0,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,9193500,9193500,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1393750
0,0,0,2400000,0,0,0,0,0,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,9193500,9193500,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2400000
0,0,0,1175000,0,0,0,0,0,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,9193500,9193500,5.1.02.04.01.0001,Belanja Perjalanan Dinas Biasa,1175000
0,0,0,3400000,0,0,0,0,0,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,9193500,9193500,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,3400000
0,0,0,0,0,0,0,0,567550,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,8936300,8936300,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,567550
0,0,0,0,0,0,0,0,1393750,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,8936300,8936300,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1393750
0,0,0,0,0,0,0,0,2400000,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,8936300,8936300,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2400000
0,0,0,0,0,0,0,0,4575000,0,0,0,1481,7.01.0.00.0.00.32.0000,KECAMATAN KLAPANUNGGAL,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1481.1847.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,8936300,8936300,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,4575000
