bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
5290100,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.02,PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK,7.01.02.2.02,Penyelenggaraan Urusan Pemerintahan yang tidak Dilaksanakan oleh Unit Kerja Perangkat Daerah yang ada di Kecamatan,1463.1463.97.427.1820,8294,7.01.02.2.02.02,Fasilitasi Percepatan Pencapaian Standar Pelayanan Minimal di Wilayah Kecamatan,9997700,9997700,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5290100
1307600,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.02,PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK,7.01.02.2.02,Penyelenggaraan Urusan Pemerintahan yang tidak Dilaksanakan oleh Unit Kerja Perangkat Daerah yang ada di Kecamatan,1463.1463.97.427.1820,8294,7.01.02.2.02.02,Fasilitasi Percepatan Pencapaian Standar Pelayanan Minimal di Wilayah Kecamatan,9997700,9997700,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1307600
3400000,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.02,PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK,7.01.02.2.02,Penyelenggaraan Urusan Pemerintahan yang tidak Dilaksanakan oleh Unit Kerja Perangkat Daerah yang ada di Kecamatan,1463.1463.97.427.1820,8294,7.01.02.2.02.02,Fasilitasi Percepatan Pencapaian Standar Pelayanan Minimal di Wilayah Kecamatan,9997700,9997700,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,3400000
300000,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.05,PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01,Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,1463.1463.97.430.1831,8325,7.01.05.2.01.02,"Fasilitasi, Koordinasi dan Pembinaan (Bimtek, Sosialisasi, Konsultasi) Wawasan Kebangsaan dan Ketahanan Nasional",5000000,5000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,300000
2000000,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.05,PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01,Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,1463.1463.97.430.1831,8325,7.01.05.2.01.02,"Fasilitasi, Koordinasi dan Pembinaan (Bimtek, Sosialisasi, Konsultasi) Wawasan Kebangsaan dan Ketahanan Nasional",5000000,5000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2000000
2700000,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.05,PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01,Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,1463.1463.97.430.1831,8325,7.01.05.2.01.02,"Fasilitasi, Koordinasi dan Pembinaan (Bimtek, Sosialisasi, Konsultasi) Wawasan Kebangsaan dan Ketahanan Nasional",5000000,5000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,2700000
1000000,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.05,PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01,Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,1463.1463.97.430.1831,8328,7.01.05.2.01.05,Penanganan Konflik Sosial sesuai Ketentuan Peraturan Perundang-Undangan,1000000,1000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1000000
4542250,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.05,PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01,Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,1463.1463.97.430.1831,8330,7.01.05.2.01.07,Pelaksanaan semua Urusan Pemerintahan yang bukan merupakan Kewenangan Daerah dan tidak dilaksanakan oleh Instansi Vertikal,9992250,9992250,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,4542250
5450000,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.05,PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01,Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,1463.1463.97.430.1831,8330,7.01.05.2.01.07,Pelaksanaan semua Urusan Pemerintahan yang bukan merupakan Kewenangan Daerah dan tidak dilaksanakan oleh Instansi Vertikal,9992250,9992250,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5450000
1240000,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.06,PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA,7.01.06.2.01,"Fasilitasi, Rekomendasi dan Koordinasi Pembinaan dan Pengawasan Pemerintahan Desa",1463.1463.97.431.1832,8333,7.01.06.2.01.02,Fasilitasi Administrasi Tata Pemerintahan Desa,14815000,14815000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1240000
1200000,0,0,0,0,0,0,0,0,0,0,0,1463,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01,KECAMATAN,7.01.06,PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA,7.01.06.2.01,"Fasilitasi, Rekomendasi dan Koordinasi Pembinaan dan Pengawasan Pemerintahan Desa",1463.1463.97.431.1832,8333,7.01.06.2.01.02,Fasilitasi Administrasi Tata Pemerintahan Desa,14815000,14815000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1200000
