bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
1884000,0,0,0,0,0,0,0,0,1884000,0,1884000,1488,7.01.0.00.0.00.39.0000,KECAMATAN LEUWISADENG,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1488.2821.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,7422000,3000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5652000
80000,0,0,0,0,0,0,0,0,80000,0,80000,1488,7.01.0.00.0.00.39.0000,KECAMATAN LEUWISADENG,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1488.2821.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,7422000,3000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,240000
0,0,0,0,0,0,0,0,0,0,0,0,1488,7.01.0.00.0.00.39.0000,KECAMATAN LEUWISADENG,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1488.2821.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,7422000,3000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,0
510000,0,0,0,0,0,0,0,0,510000,0,510000,1488,7.01.0.00.0.00.39.0000,KECAMATAN LEUWISADENG,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1488.2821.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,7422000,3000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,1530000
737000,0,737000,0,0,0,0,0,0,737000,0,737000,1488,7.01.0.00.0.00.39.0000,KECAMATAN LEUWISADENG,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1488.2821.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5988000,7122450,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2948000
160000,0,0,0,0,0,0,0,0,160000,0,0,1488,7.01.0.00.0.00.39.0000,KECAMATAN LEUWISADENG,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1488.2821.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5988000,7122450,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,320000
0,0,0,0,0,0,0,0,0,0,0,0,1488,7.01.0.00.0.00.39.0000,KECAMATAN LEUWISADENG,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1488.2821.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5988000,7122450,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,0
680000,0,680000,0,0,0,0,0,0,680000,0,680000,1488,7.01.0.00.0.00.39.0000,KECAMATAN LEUWISADENG,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1488.2821.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5988000,7122450,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,2720000
0,0,712100,0,0,712100,0,0,712100,0,0,712100,1488,7.01.0.00.0.00.39.0000,KECAMATAN LEUWISADENG,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1488.2821.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,4963600,1453350,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2848400
0,0,188800,0,0,188800,0,0,188800,0,0,188800,1488,7.01.0.00.0.00.39.0000,KECAMATAN LEUWISADENG,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1488.2821.97.422.1860,8862,7.01.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,4963600,1453350,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,755200
