bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,696975,696975,0,0,0,0,0,0,0,0,0,1475,7.01.0.00.0.00.26.0000,KECAMATAN MEGAMENDUNG,7.01.0.00.0.00.26.0001,Sekretariat Kecamatan Megamendung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1475.1839.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,8701750,8701750,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1393950
0,428900,428900,0,0,0,0,0,0,0,0,0,1475,7.01.0.00.0.00.26.0000,KECAMATAN MEGAMENDUNG,7.01.0.00.0.00.26.0001,Sekretariat Kecamatan Megamendung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1475.1839.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,8701750,8701750,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,857800
0,0,1800000,0,0,0,0,0,0,0,0,0,1475,7.01.0.00.0.00.26.0000,KECAMATAN MEGAMENDUNG,7.01.0.00.0.00.26.0001,Sekretariat Kecamatan Megamendung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1475.1839.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,8701750,8701750,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1800000
0,1150000,1150000,1150000,1200000,0,0,0,0,0,0,0,1475,7.01.0.00.0.00.26.0000,KECAMATAN MEGAMENDUNG,7.01.0.00.0.00.26.0001,Sekretariat Kecamatan Megamendung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1475.1839.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,8701750,8701750,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,4650000
0,297750,0,0,0,0,0,0,0,0,0,0,1475,7.01.0.00.0.00.26.0000,KECAMATAN MEGAMENDUNG,7.01.0.00.0.00.26.0001,Sekretariat Kecamatan Megamendung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1475.1839.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,2864000,2864000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,297750
0,0,96250,0,0,0,0,0,0,0,0,0,1475,7.01.0.00.0.00.26.0000,KECAMATAN MEGAMENDUNG,7.01.0.00.0.00.26.0001,Sekretariat Kecamatan Megamendung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1475.1839.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,2864000,2864000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,96250
0,0,0,0,1000000,0,0,0,0,0,0,0,1475,7.01.0.00.0.00.26.0000,KECAMATAN MEGAMENDUNG,7.01.0.00.0.00.26.0001,Sekretariat Kecamatan Megamendung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1475.1839.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,2864000,2864000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1000000
0,367500,367500,0,367500,367500,0,0,0,0,0,0,1475,7.01.0.00.0.00.26.0000,KECAMATAN MEGAMENDUNG,7.01.0.00.0.00.26.0001,Sekretariat Kecamatan Megamendung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1475.1839.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,2864000,2864000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,1470000
0,0,51750,0,0,0,0,0,0,0,0,0,1475,7.01.0.00.0.00.26.0000,KECAMATAN MEGAMENDUNG,7.01.0.00.0.00.26.0001,Sekretariat Kecamatan Megamendung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1475.1839.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,1000000,1000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,51750
0,0,68250,0,0,0,0,0,0,0,0,0,1475,7.01.0.00.0.00.26.0000,KECAMATAN MEGAMENDUNG,7.01.0.00.0.00.26.0001,Sekretariat Kecamatan Megamendung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1475.1839.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,1000000,1000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,68250
