bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,0,14625000,0,0,0,0,0,0,0,0,1470,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1470.1470.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.01.01.0012,Belanja Bahan-Bahan Lainnya,14625000
0,0,0,385000,0,0,0,0,0,0,0,0,1470,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1470.1470.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,385000
0,0,0,290000,0,0,0,0,0,0,0,0,1470,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1470.1470.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,290000
0,0,0,24000000,0,0,0,0,0,0,0,0,1470,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1470.1470.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.01.01.0058,Belanja Makanan dan Minuman Aktivitas Lapangan,24000000
0,0,0,35700000,0,0,0,0,0,0,0,0,1470,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1470.1470.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,35700000
1419200,0,0,0,0,0,0,0,0,1179800,0,0,1470,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01.0.00.0.00.21.0001,Sekretariat Kecamatan Nanggung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1470.1833.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,12999000,12999000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2599000
1160000,0,0,0,0,0,0,0,0,1240000,0,0,1470,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01.0.00.0.00.21.0001,Sekretariat Kecamatan Nanggung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1470.1833.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,12999000,12999000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2400000
2000000,0,0,0,0,0,0,0,0,6000000,0,0,1470,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01.0.00.0.00.21.0001,Sekretariat Kecamatan Nanggung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1470.1833.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,12999000,12999000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,8000000
0,0,0,0,0,0,0,0,0,2498000,0,0,1470,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01.0.00.0.00.21.0001,Sekretariat Kecamatan Nanggung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1470.1833.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,12098000,12098000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2498000
0,0,0,0,0,0,0,0,0,2400000,0,0,1470,7.01.0.00.0.00.21.0000,KECAMATAN NANGGUNG,7.01.0.00.0.00.21.0001,Sekretariat Kecamatan Nanggung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1470.1833.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,12098000,12098000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2400000
