bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
1033500,0,0,0,0,0,0,0,0,0,0,0,1466,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1466.1466.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,5000000,5000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1033500
366500,0,0,0,0,0,0,0,0,0,0,0,1466,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1466.1466.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,5000000,5000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,366500
2000000,0,0,0,0,0,0,0,0,0,0,0,1466,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1466.1466.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,5000000,5000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2000000
1600000,0,0,0,0,0,0,0,0,0,0,0,1466,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1466.1466.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,5000000,5000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,1600000
934000,0,0,0,0,0,0,0,0,0,0,0,1466,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1466.1466.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5000000,5000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,934000
466000,0,0,0,0,0,0,0,0,0,0,0,1466,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1466.1466.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5000000,5000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,466000
3600000,0,0,0,0,0,0,0,0,0,0,0,1466,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1466.1466.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5000000,5000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3600000
1080000,0,0,0,0,0,0,0,0,0,0,0,1466,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1466.1466.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5000000,5000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1080000
320000,0,0,0,0,0,0,0,0,0,0,0,1466,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1466.1466.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5000000,5000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,320000
1800000,0,0,1800000,0,0,0,0,0,0,0,0,1466,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1466.1466.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5000000,5000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3600000
