bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,1441800,0,0,0,0,0,0,0,0,0,0,1469,7.01.0.00.0.00.20.0000,KECAMATAN PARUNG PANJANG,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1469.1806.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1441800
0,1458200,0,0,0,0,0,0,0,0,0,0,1469,7.01.0.00.0.00.20.0000,KECAMATAN PARUNG PANJANG,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1469.1806.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1458200
0,3360000,0,0,0,0,0,0,0,0,0,0,1469,7.01.0.00.0.00.20.0000,KECAMATAN PARUNG PANJANG,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1469.1806.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3360000
0,8740000,0,0,0,0,0,0,0,0,0,0,1469,7.01.0.00.0.00.20.0000,KECAMATAN PARUNG PANJANG,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1469.1806.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15000000,15000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,8740000
0,0,0,0,0,0,0,0,1521650,0,0,0,1469,7.01.0.00.0.00.20.0000,KECAMATAN PARUNG PANJANG,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1469.1806.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,19999800,19999800,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1521650
0,0,0,0,0,0,0,0,1353150,0,0,0,1469,7.01.0.00.0.00.20.0000,KECAMATAN PARUNG PANJANG,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1469.1806.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,19999800,19999800,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1353150
0,0,0,0,0,0,0,0,4000000,0,0,0,1469,7.01.0.00.0.00.20.0000,KECAMATAN PARUNG PANJANG,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1469.1806.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,19999800,19999800,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,4000000
0,0,0,0,0,0,0,0,13125000,0,0,0,1469,7.01.0.00.0.00.20.0000,KECAMATAN PARUNG PANJANG,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1469.1806.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,19999800,19999800,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,13125000
0,0,0,0,0,0,0,0,2519200,0,0,0,1469,7.01.0.00.0.00.20.0000,KECAMATAN PARUNG PANJANG,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1469.1806.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,14165000,14165000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2519200
0,0,0,0,0,0,0,0,1400800,0,0,0,1469,7.01.0.00.0.00.20.0000,KECAMATAN PARUNG PANJANG,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1469.1806.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,14165000,14165000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1400800
