bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
605800,0,0,0,0,0,0,0,0,0,0,0,1459,7.01.0.00.0.00.10.0000,KECAMATAN PARUNG,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1459.1794.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9490800,16617400,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,605800
32000,32000,32000,32000,0,32000,0,0,0,0,0,0,1459,7.01.0.00.0.00.10.0000,KECAMATAN PARUNG,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1459.1794.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9490800,16617400,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,160000
2000000,0,0,2000000,0,0,2000000,0,0,2000000,0,0,1459,7.01.0.00.0.00.10.0000,KECAMATAN PARUNG,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1459.1794.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9490800,16617400,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,8000000
185000,0,0,180000,0,0,180000,0,0,180000,0,0,1459,7.01.0.00.0.00.10.0000,KECAMATAN PARUNG,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1459.1794.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9490800,16617400,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,725000
0,521300,0,0,0,0,0,0,0,0,0,0,1459,7.01.0.00.0.00.10.0000,KECAMATAN PARUNG,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1459.1794.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5581300,13727750,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,521300
0,310000,0,0,0,0,0,0,0,0,0,0,1459,7.01.0.00.0.00.10.0000,KECAMATAN PARUNG,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1459.1794.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5581300,13727750,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,310000
0,0,1000000,0,0,1000000,0,0,1000000,0,0,0,1459,7.01.0.00.0.00.10.0000,KECAMATAN PARUNG,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1459.1794.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5581300,13727750,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3000000
0,0,850000,0,0,450000,0,0,450000,0,0,0,1459,7.01.0.00.0.00.10.0000,KECAMATAN PARUNG,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1459.1794.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5581300,13727750,5.1.02.04.01.0001,Belanja Perjalanan Dinas Biasa,1750000
0,0,1156000,0,0,1000000,0,0,1000000,0,0,0,1459,7.01.0.00.0.00.10.0000,KECAMATAN PARUNG,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1459.1794.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,10681000,10681000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,3156000
0,0,600000,0,0,600000,0,0,0,0,0,0,1459,7.01.0.00.0.00.10.0000,KECAMATAN PARUNG,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1459.1794.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,10681000,10681000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1200000
