bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,413200,0,0,0,0,0,0,0,0,0,1467,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1467.1467.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.01.01.0001,Belanja Bahan-Bahan Bangunan dan Konstruksi,413200
0,0,11222300,0,0,0,0,0,0,0,0,0,1467,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1467.1467.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,11222300
0,0,1438500,0,0,0,0,0,0,0,0,0,1467,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1467.1467.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1438500
0,0,2583000,2583000,0,0,0,0,0,0,0,0,1467,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1467.1467.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.01.01.0036,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya,5166000
0,0,3200000,3200000,0,0,0,0,0,0,0,0,1467,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1467.1467.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,6400000
0,0,4840000,8800000,0,0,0,0,0,0,0,0,1467,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1467.1467.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.01.01.0058,Belanja Makanan dan Minuman Aktivitas Lapangan,13640000
0,0,18360000,18360000,0,0,0,0,0,0,0,0,1467,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01,KECAMATAN,7.01.03,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,7.01.03.2.05,Koordinasi dan Sinkronisasi Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM),1467.1467.97.428.1882,9001,7.01.03.2.05.02,Penanganan Covid-19 di Tingkat Desa dan Kelurahan,75000000,0,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,36720000
0,0,1315750,1315750,422750,0,0,0,0,0,0,0,1467,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1467.1804.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,44524250,19677250,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,3054250
0,0,175000,175000,0,0,0,0,0,0,0,0,1467,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1467.1804.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,44524250,19677250,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,350000
0,0,0,0,0,0,0,10000000,25000000,0,0,0,1467,7.01.0.00.0.00.18.0000,KECAMATAN RUMPIN,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1467.1804.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,44524250,19677250,5.1.02.02.01.0055,"Belanja Jasa Iklan/Reklame, Film, dan Pemotretan",35000000
