bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,1356550,0,0,0,0,0,0,0,0,0,1458,7.01.0.00.0.00.09.0000,KECAMATAN SUKAMAKMUR,7.01.0.00.0.00.09.0001,Sekretariat Kecamatan Sukamakmur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1458.1793.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,12000000,12000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1356550
0,0,543450,0,0,0,0,0,0,0,0,0,1458,7.01.0.00.0.00.09.0000,KECAMATAN SUKAMAKMUR,7.01.0.00.0.00.09.0001,Sekretariat Kecamatan Sukamakmur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1458.1793.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,12000000,12000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,543450
0,0,3200000,0,0,0,0,0,0,0,0,0,1458,7.01.0.00.0.00.09.0000,KECAMATAN SUKAMAKMUR,7.01.0.00.0.00.09.0001,Sekretariat Kecamatan Sukamakmur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1458.1793.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,12000000,12000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3200000
0,0,6900000,0,0,0,0,0,0,0,0,0,1458,7.01.0.00.0.00.09.0000,KECAMATAN SUKAMAKMUR,7.01.0.00.0.00.09.0001,Sekretariat Kecamatan Sukamakmur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1458.1793.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,12000000,12000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,6900000
0,1677300,0,0,0,0,0,0,0,0,0,0,1458,7.01.0.00.0.00.09.0000,KECAMATAN SUKAMAKMUR,7.01.0.00.0.00.09.0001,Sekretariat Kecamatan Sukamakmur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1458.1793.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,9000000,9000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1677300
0,347700,0,0,0,0,0,0,0,0,0,0,1458,7.01.0.00.0.00.09.0000,KECAMATAN SUKAMAKMUR,7.01.0.00.0.00.09.0001,Sekretariat Kecamatan Sukamakmur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1458.1793.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,9000000,9000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,347700
0,3000000,0,0,0,0,0,0,0,0,0,0,1458,7.01.0.00.0.00.09.0000,KECAMATAN SUKAMAKMUR,7.01.0.00.0.00.09.0001,Sekretariat Kecamatan Sukamakmur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1458.1793.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,9000000,9000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,3000000
0,3975000,0,0,0,0,0,0,0,0,0,0,1458,7.01.0.00.0.00.09.0000,KECAMATAN SUKAMAKMUR,7.01.0.00.0.00.09.0001,Sekretariat Kecamatan Sukamakmur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1458.1793.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,9000000,9000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,3975000
0,0,0,0,0,0,0,0,0,881700,0,0,1458,7.01.0.00.0.00.09.0000,KECAMATAN SUKAMAKMUR,7.01.0.00.0.00.09.0001,Sekretariat Kecamatan Sukamakmur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1458.1793.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,12000000,12000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,881700
0,0,0,0,0,0,0,0,0,218300,0,0,1458,7.01.0.00.0.00.09.0000,KECAMATAN SUKAMAKMUR,7.01.0.00.0.00.09.0001,Sekretariat Kecamatan Sukamakmur,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1458.1793.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,12000000,12000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,218300
