bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
1943750,0,0,1943750,0,0,1943750,0,0,1944700,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,12999950,12999950,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,7775950
487000,0,0,487000,0,0,0,0,0,0,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,12999950,12999950,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,974000
4250000,0,0,0,0,0,0,0,0,0,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,12999950,12999950,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,4250000
1900000,0,0,1900000,0,0,1900000,0,0,1911900,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,12312300,12312300,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,7611900
450400,0,0,0,0,0,0,0,0,0,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,12312300,12312300,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,450400
4250000,0,0,0,0,0,0,0,0,0,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,12312300,12312300,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,4250000
1961150,0,0,0,0,0,1000000,0,0,0,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,9999950,9999950,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2961150
0,500000,0,0,0,0,0,418800,0,0,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,9999950,9999950,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,918800
6120000,0,0,0,0,0,0,0,0,0,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,9999950,9999950,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,6120000
6652500,0,0,0,0,0,0,0,0,0,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,12608500,12608500,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,6652500
856000,0,0,0,0,0,0,0,0,0,0,0,1453,7.01.0.00.0.00.04.0000,KECAMATAN SUKARAJA,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1453.1788.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,12608500,12608500,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,856000
