bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,0,2273250,0,0,0,0,0,683350,0,0,1486,7.01.0.00.0.00.37.0000,KECAMATAN TAJURHALANG,7.01.0.00.0.00.37.01,Sekretariat Kecamatan Tajurhalang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1486.1851.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15806600,15006600,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2956600
0,0,0,515000,0,0,0,0,0,135000,0,0,1486,7.01.0.00.0.00.37.0000,KECAMATAN TAJURHALANG,7.01.0.00.0.00.37.01,Sekretariat Kecamatan Tajurhalang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1486.1851.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15806600,15006600,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,650000
0,0,0,4200000,0,0,0,0,0,1200000,0,0,1486,7.01.0.00.0.00.37.0000,KECAMATAN TAJURHALANG,7.01.0.00.0.00.37.01,Sekretariat Kecamatan Tajurhalang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1486.1851.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15806600,15006600,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,5400000
0,0,0,0,0,0,0,0,0,0,0,0,1486,7.01.0.00.0.00.37.0000,KECAMATAN TAJURHALANG,7.01.0.00.0.00.37.01,Sekretariat Kecamatan Tajurhalang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1486.1851.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15806600,15006600,5.1.02.04.01.0001,Belanja Perjalanan Dinas Biasa,0
0,0,0,5100000,0,0,0,0,0,1700000,0,0,1486,7.01.0.00.0.00.37.0000,KECAMATAN TAJURHALANG,7.01.0.00.0.00.37.01,Sekretariat Kecamatan Tajurhalang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1486.1851.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,15806600,15006600,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,6800000
920400,0,0,18400,0,0,0,0,0,0,0,0,1486,7.01.0.00.0.00.37.0000,KECAMATAN TAJURHALANG,7.01.0.00.0.00.37.01,Sekretariat Kecamatan Tajurhalang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1486.1851.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10418800,8360400,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,938800
960000,0,0,0,0,0,0,0,0,0,0,0,1486,7.01.0.00.0.00.37.0000,KECAMATAN TAJURHALANG,7.01.0.00.0.00.37.01,Sekretariat Kecamatan Tajurhalang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1486.1851.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10418800,8360400,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,960000
2400000,0,0,0,0,0,0,0,0,0,0,0,1486,7.01.0.00.0.00.37.0000,KECAMATAN TAJURHALANG,7.01.0.00.0.00.37.01,Sekretariat Kecamatan Tajurhalang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1486.1851.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10418800,8360400,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,2400000
4080000,0,0,2040000,0,0,0,0,0,0,0,0,1486,7.01.0.00.0.00.37.0000,KECAMATAN TAJURHALANG,7.01.0.00.0.00.37.01,Sekretariat Kecamatan Tajurhalang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1486.1851.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,10418800,8360400,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,6120000
0,0,0,0,0,0,0,0,0,920400,0,0,1486,7.01.0.00.0.00.37.0000,KECAMATAN TAJURHALANG,7.01.0.00.0.00.37.01,Sekretariat Kecamatan Tajurhalang,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1486.1851.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,8360400,8360400,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,920400
