bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,0,1650950,0,0,958550,0,0,0,0,0,1485,7.01.0.00.0.00.36.0000,KECAMATAN TANJUNGSARI,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1485.1850.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,19998500,19998500,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2609500
0,0,0,800000,0,0,1594000,0,0,0,0,0,1485,7.01.0.00.0.00.36.0000,KECAMATAN TANJUNGSARI,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1485.1850.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,19998500,19998500,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,2394000
0,0,0,800000,0,0,3200000,0,0,0,0,0,1485,7.01.0.00.0.00.36.0000,KECAMATAN TANJUNGSARI,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1485.1850.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,19998500,19998500,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,4000000
0,0,0,4125000,0,0,6870000,0,0,0,0,0,1485,7.01.0.00.0.00.36.0000,KECAMATAN TANJUNGSARI,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1485.1850.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,19998500,19998500,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,10995000
1685550,0,0,0,0,0,0,0,0,0,0,0,1485,7.01.0.00.0.00.36.0000,KECAMATAN TANJUNGSARI,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1485.1850.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,3999950,3999950,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1685550
404400,0,0,0,0,0,0,0,0,0,0,0,1485,7.01.0.00.0.00.36.0000,KECAMATAN TANJUNGSARI,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1485.1850.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,3999950,3999950,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,404400
400000,400000,0,0,0,0,0,0,0,0,0,0,1485,7.01.0.00.0.00.36.0000,KECAMATAN TANJUNGSARI,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1485.1850.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,3999950,3999950,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,800000
555000,555000,0,0,0,0,0,0,0,0,0,0,1485,7.01.0.00.0.00.36.0000,KECAMATAN TANJUNGSARI,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1485.1850.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,3999950,3999950,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,1110000
1842250,0,0,0,0,0,0,0,0,0,0,0,1485,7.01.0.00.0.00.36.0000,KECAMATAN TANJUNGSARI,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1485.1850.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,7002250,7002250,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1842250
5160000,0,0,0,0,0,0,0,0,0,0,0,1485,7.01.0.00.0.00.36.0000,KECAMATAN TANJUNGSARI,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1485.1850.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,7002250,7002250,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,5160000
