bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,546200,0,0,0,0,0,0,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9711200,7420000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,546200
0,0,530000,0,110000,0,0,0,320000,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9711200,7420000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,960000
0,0,720000,0,360000,0,0,0,495000,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9711200,7420000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,1575000
0,0,0,0,0,0,0,0,6630000,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8857,7.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,9711200,7420000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,6630000
432000,0,0,0,0,0,0,0,247150,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5215150,6000000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,679150
338000,0,0,0,0,0,0,0,338000,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5215150,6000000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,676000
400000,0,0,0,0,0,0,0,400000,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5215150,6000000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,800000
0,0,0,0,0,0,0,0,3060000,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8858,7.01.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,5215150,6000000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,3060000
0,0,326750,326750,0,0,326750,0,0,349200,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,7399450,7256000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1329450
0,0,270000,270000,0,0,270000,0,0,270000,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,7399450,7256000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1080000
0,0,400000,0,0,0,0,0,0,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,7399450,7256000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,400000
0,0,0,0,0,0,0,0,0,4590000,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8859,7.01.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,7399450,7256000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,4590000
322050,0,0,0,0,0,0,0,207900,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5069950,5276000,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,529950
540000,0,0,0,0,0,0,0,540000,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5069950,5276000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1080000
0,0,0,0,0,0,0,0,400000,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5069950,5276000,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,400000
0,0,0,0,0,0,0,0,3060000,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8860,7.01.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,5069950,5276000,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,3060000
0,0,0,209600,0,0,0,0,0,209600,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,5274200,4600500,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,419200
0,0,0,450000,0,0,0,0,0,810000,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,5274200,4600500,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1260000
0,0,0,400000,0,0,0,0,0,0,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,5274200,4600500,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,400000
0,0,0,0,0,0,0,0,0,3195000,0,0,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1472.1835.97.422.1860,8861,7.01.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA-SKPD,5274200,4600500,5.1.02.04.01.0003,Belanja Perjalanan Dinas Dalam Kota,3195000
47911200,48020800,48020800,144528040,144528040,48439700,65000000,65000000,65000000,65000000,65000000,60144420,1472,7.01.0.00.0.00.23.0000,KECAMATAN TENJO,7.01.0.00.0.00.23.0001,Sekretariat Kecamatan Tenjo,7.01,KECAMATAN,7.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02,Administrasi Keuangan Perangkat Daerah,1472.1835.97.422.1861,8864,7.01.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,2824674570,3210471207,5.1.01.01.01.0001,Belanja Gaji Pokok PNS,866593000
