bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,0,875000,0,0,0,0,0,0,0,875000,1412,4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,4.01.0.00.0.00.01.0002,Bagian Umum,4.01,SEKRETARIAT DAERAH,4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1412.1670.87.422.1860,8857,4.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,253846518,254179034,5.1.01.03.07.0002,Belanja Honorarium Pengadaan Barang/Jasa,1750000
0,0,58590250,0,0,0,298750,0,0,0,0,0,1412,4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,4.01.0.00.0.00.01.0002,Bagian Umum,4.01,SEKRETARIAT DAERAH,4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1412.1670.87.422.1860,8857,4.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,253846518,254179034,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,58889000
0,0,13181250,0,0,0,13000000,0,0,13000000,9100000,0,1412,4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,4.01.0.00.0.00.01.0002,Bagian Umum,4.01,SEKRETARIAT DAERAH,4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1412.1670.87.422.1860,8857,4.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,253846518,254179034,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,48281250
0,0,5000000,0,0,0,0,0,0,0,0,0,1412,4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,4.01.0.00.0.00.01.0002,Bagian Umum,4.01,SEKRETARIAT DAERAH,4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1412.1670.87.422.1860,8857,4.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,253846518,254179034,5.1.02.01.01.0030,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,5000000
0,0,4000000,0,0,0,4140000,0,0,520000,0,0,1412,4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,4.01.0.00.0.00.01.0002,Bagian Umum,4.01,SEKRETARIAT DAERAH,4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1412.1670.87.422.1860,8857,4.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,253846518,254179034,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,8660000
0,0,0,0,0,0,0,0,0,8000000,0,0,1412,4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,4.01.0.00.0.00.01.0002,Bagian Umum,4.01,SEKRETARIAT DAERAH,4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1412.1670.87.422.1860,8857,4.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,253846518,254179034,5.1.02.02.01.0003,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",8000000
0,0,7500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,1412,4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,4.01.0.00.0.00.01.0002,Bagian Umum,4.01,SEKRETARIAT DAERAH,4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1412.1670.87.422.1860,8857,4.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,253846518,254179034,5.1.02.02.01.0026,Belanja Jasa Tenaga Administrasi,30000000
0,0,506067,168689,168689,168689,168689,168689,168689,168689,168689,168689,1412,4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,4.01.0.00.0.00.01.0002,Bagian Umum,4.01,SEKRETARIAT DAERAH,4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1412.1670.87.422.1860,8857,4.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,253846518,254179034,5.1.02.02.02.0005,Belanja Iuran Jaminan Kesehatan bagi Non ASN,2024268
0,0,0,0,0,0,0,0,0,91242000,0,0,1412,4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,4.01.0.00.0.00.01.0002,Bagian Umum,4.01,SEKRETARIAT DAERAH,4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1412.1670.87.422.1860,8857,4.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,253846518,254179034,5.1.02.02.05.0009,Belanja Sewa Bangunan Gedung Tempat Pertemuan,91242000
0,0,0,0,0,0,0,0,0,0,0,0,1412,4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,4.01.0.00.0.00.01.0002,Bagian Umum,4.01,SEKRETARIAT DAERAH,4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.01.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1412.1670.87.422.1860,8857,4.01.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,253846518,254179034,5.1.02.04.01.0001,Belanja Perjalanan Dinas Biasa,0
