bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,id_skpd,kode_skpd,nama_skpd,kode_sub_skpd,nama_sub_skpd,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,kode_giat,nama_giat,kode_bl,id_sub_giat,kode_sub_giat,nama_sub_giat,rincian,rincian_murni,kode_akun,nama_akun,total_rincian
0,0,1325000,0,0,0,0,0,0,0,0,0,1413,4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,4.02.0.00.0.00.01.0001,Bagian Umum,4.02,SEKRETARIAT DPRD,4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,1413.1682.88.422.1862,8872,4.02.01.2.03.01,Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,190145179,196347447,5.1.01.03.07.0002,Belanja Honorarium Pengadaan Barang/Jasa,1325000
0,0,9743750,0,0,0,0,0,0,0,0,0,1413,4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,4.02.0.00.0.00.01.0001,Bagian Umum,4.02,SEKRETARIAT DPRD,4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,1413.1682.88.422.1862,8872,4.02.01.2.03.01,Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,190145179,196347447,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,9743750
0,0,7986400,0,0,0,0,0,0,0,0,0,1413,4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,4.02.0.00.0.00.01.0001,Bagian Umum,4.02,SEKRETARIAT DPRD,4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,1413.1682.88.422.1862,8872,4.02.01.2.03.01,Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,190145179,196347447,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,7986400
13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,1413,4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,4.02.0.00.0.00.01.0001,Bagian Umum,4.02,SEKRETARIAT DPRD,4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,1413.1682.88.422.1862,8872,4.02.01.2.03.01,Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,190145179,196347447,5.1.02.02.01.0026,Belanja Jasa Tenaga Administrasi,160800000
822756,822756,822756,822756,822756,1115579,843445,843445,843445,843445,843445,843445,1413,4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,4.02.0.00.0.00.01.0001,Bagian Umum,4.02,SEKRETARIAT DPRD,4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,1413.1682.88.422.1862,8872,4.02.01.2.03.01,Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,190145179,196347447,5.1.02.02.02.0005,Belanja Iuran Jaminan Kesehatan bagi Non ASN,10290029
0,0,0,0,0,0,0,0,0,0,0,0,1413,4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,4.02.0.00.0.00.01.0001,Bagian Umum,4.02,SEKRETARIAT DPRD,4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05,Administrasi Kepegawaian Perangkat Daerah,1413.1682.88.422.1864,8886,4.02.01.2.05.01,Peningkatan Sarana dan Prasarana Disiplin Pegawai,0,0,5.1.02.01.01.0024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,0
0,0,0,0,0,0,0,0,0,0,0,0,1413,4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,4.02.0.00.0.00.01.0001,Bagian Umum,4.02,SEKRETARIAT DPRD,4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05,Administrasi Kepegawaian Perangkat Daerah,1413.1682.88.422.1864,8886,4.02.01.2.05.01,Peningkatan Sarana dan Prasarana Disiplin Pegawai,0,0,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,0
0,0,0,0,0,0,0,0,0,0,0,0,1413,4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,4.02.0.00.0.00.01.0001,Bagian Umum,4.02,SEKRETARIAT DPRD,4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05,Administrasi Kepegawaian Perangkat Daerah,1413.1682.88.422.1864,8886,4.02.01.2.05.01,Peningkatan Sarana dan Prasarana Disiplin Pegawai,0,0,5.1.02.01.01.0052,Belanja Makanan dan Minuman Rapat,0
0,0,0,0,0,0,0,0,0,0,0,0,1413,4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,4.02.0.00.0.00.01.0001,Bagian Umum,4.02,SEKRETARIAT DPRD,4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05,Administrasi Kepegawaian Perangkat Daerah,1413.1682.88.422.1864,8887,4.02.01.2.05.02,Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya,0,251230000,5.1.01.03.07.0002,Belanja Honorarium Pengadaan Barang/Jasa,0
0,0,0,0,0,0,0,0,0,0,0,0,1413,4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,4.02.0.00.0.00.01.0001,Bagian Umum,4.02,SEKRETARIAT DPRD,4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05,Administrasi Kepegawaian Perangkat Daerah,1413.1682.88.422.1864,8887,4.02.01.2.05.02,Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya,0,251230000,5.1.02.01.01.0026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,0
