tgl_cair,no_sp2d,jumlah
01/02/2021,00377,179865613
01/02/2021,00408,109223300
04/02/2021,00551,2500000
02/02/2021,00602,10000000
04/02/2021,00634,8410852
18/02/2021,01176,787110000
22/02/2021,01427,13340962
24/02/2021,01529,9100000
24/02/2021,01531,8800000
24/02/2021,01532,8200000
03/03/2021,01545,4988750
25/02/2021,01562,5500000
01/03/2021,01755,14502200
01/03/2021,01777,6900000
01/03/2021,01939,49900000
01/03/2021,01982,20100000
03/03/2021,02000,6900000
03/03/2021,02002,2500000
03/03/2021,02007,2500000
03/03/2021,02054,4400000
01/03/2021,02135,1107311963
04/03/2021,02501,9100000
04/03/2021,02502,11000000
04/03/2021,02504,8200000
04/03/2021,02507,8800000
04/03/2021,02517,156370000
04/03/2021,02574,25000000
10/03/2021,02803,2500000
10/03/2021,02804,2500000
10/03/2021,02805,2200000
10/03/2021,02806,5000000
10/03/2021,02807,5000000
09/03/2021,02882,6600000
12/03/2021,03080,712363
23/03/2021,03848,1031000
23/03/2021,03851,2101000
23/03/2021,03852,566500
23/03/2021,03853,709500
23/03/2021,03854,902000
23/03/2021,03855,77000
23/03/2021,03856,117480
23/03/2021,03857,583660
25/03/2021,03862,2447500
25/03/2021,03867,1139035
22/03/2021,03879,1217562
22/03/2021,03880,412900
22/03/2021,03881,1199300
22/03/2021,03882,1463000
22/03/2021,03887,1650000
23/03/2021,03888,4000000
23/03/2021,03890,1200000
23/03/2021,03891,1100000
23/03/2021,03892,1650000
23/03/2021,03893,4950000
23/03/2021,03895,645700
23/03/2021,03899,1039500
23/03/2021,03900,1000000
23/03/2021,03901,1551000
23/03/2021,03902,1941500
23/03/2021,03904,1100000
23/03/2021,03905,1512500
23/03/2021,03906,2000000
24/03/2021,03989,18000000
24/03/2021,03990,16000000
24/03/2021,03991,11400000
24/03/2021,03992,13500000
24/03/2021,03993,1900000
24/03/2021,03994,25000000
24/03/2021,03995,14000000
24/03/2021,03996,6800000
26/03/2021,04319,2500000
29/03/2021,04357,2200000
29/03/2021,04551,1900000
30/03/2021,04608,22100000
09/04/2021,05579,4800150
05/04/2021,05820,8800000
05/04/2021,05821,8200000
05/04/2021,05822,9100000
05/04/2021,05823,11000000
06/04/2021,06101,113670000
08/04/2021,06138,19730100
08/04/2021,06139,6374250
08/04/2021,06379,6340000
12/04/2021,06591,18600000
21/04/2021,06663,1727200
09/04/2021,06731,94157200
16/04/2021,06988,1196800
16/04/2021,06989,1795338
16/04/2021,06990,1500000
16/04/2021,06997,781320
23/04/2021,08080,12000000
26/04/2021,08395,21978550
27/04/2021,08762,2500000
27/04/2021,08764,2500000
28/04/2021,09255,36500000
30/04/2021,09327,5000000
29/04/2021,09638,2200000
30/04/2021,09688,4400000
29/04/2021,09732,178750000
30/04/2021,09733,3700000
30/04/2021,09734,4400000
29/04/2021,09949,5700000
29/04/2021,09950,7500000
29/04/2021,09951,4400000
29/04/2021,09952,23900000
29/04/2021,09953,936000
04/05/2021,09988,1900000
03/05/2021,10089,275499438
03/05/2021,10256,39682500
30/04/2021,10258,6800000
03/05/2021,10286,2000000
03/05/2021,10480,2500000
05/05/2021,10745,22205000
03/05/2021,10765,132891100
03/05/2021,10770,32092800
04/05/2021,10820,8560400
05/05/2021,11302,16000000
06/05/2021,12058,68271400
06/05/2021,12121,2000000
06/05/2021,12130,2000000
06/05/2021,12131,2000000
06/05/2021,12133,2000000
06/05/2021,12136,5000000
06/05/2021,12137,5000000
06/05/2021,12230,40000000
07/05/2021,12296,109780000
10/05/2021,12351,9600000
10/05/2021,12931,198600000
10/05/2021,13261,94820000
10/05/2021,13304,170800000
17/05/2021,13669,69256000
18/05/2021,13720,19721650
20/05/2021,13806,22874048
19/05/2021,13841,1010514
21/05/2021,14191,2470000
25/05/2021,14426,7325000

